package,license,allowed,note
"eslint-plugin-unicorn","MIT","YES",""
"eslint-scope","BSD-2-Clause","YES",""
"eslint-visitor-keys","Apache-2.0","YES",""
"espree","BSD-2-Clause","YES",""
"esprima","BSD-2-Clause","YES",""
"esquery","BSD-3-Clause","YES",""
"esrecurse","BSD-2-Clause","YES",""
"estraverse","BSD-2-Clause","YES",""
"estree-walker","MIT","YES",""
"esutils","BSD-2-Clause","YES",""
"etag","MIT","YES",""
"event-target-shim","MIT","YES",""
"eventemitter3","MIT","YES",""
"events","MIT","YES",""
"events-universal","Apache-2.0","YES",""
"eventsource","MIT","YES",""
"eventsource-parser","MIT","YES",""
"execa","MIT","YES",""
"expect-type","Apache-2.0","YES",""
"express","MIT","YES",""
"express-rate-limit","MIT","YES",""
"extract-zip","BSD-2-Clause","YES",""
"fast-deep-equal","MIT","YES",""
"fast-equals","MIT","YES",""
"fast-fifo","MIT","YES",""
"fast-glob","MIT","YES",""
"fast-json-stable-stringify","MIT","YES",""
"fast-levenshtein","MIT","YES",""
"fast-string-truncated-width","MIT","YES",""
"fast-string-width","MIT","YES",""
"fast-uri","BSD-3-Clause","YES",""
"fast-wrap-ansi","MIT","YES",""
"fast-xml-parser","MIT","YES",""
"fastq","ISC","YES",""
"fd-package-json","MIT","YES",""
"fd-slicer","MIT","YES",""
"fdir","MIT","YES",""
"fetch-blob","MIT","YES",""
"figures","MIT","YES",""
"file-entry-cache","MIT","YES",""
"fill-range","MIT","YES",""
"finalhandler","MIT","YES",""
"find-up","MIT","YES",""
"find-up-simple","MIT","YES",""
"flat-cache","MIT","YES",""
"flatted","ISC","YES",""
"for-each","MIT","YES",""
"foreground-child","ISC","YES",""
"formatly","MIT","YES",""
"formdata-polyfill","MIT","YES",""
"forwarded","MIT","YES",""
"framer-motion","MIT","YES",""
"fresh","MIT","YES",""
"fs-extra","MIT","YES",""
"fs-monkey","Unlicense","YES",""
"function-bind","MIT","YES",""
"function.prototype.name","MIT","YES",""
"functional-red-black-tree","MIT","YES",""
"functions-have-names","MIT","YES",""
"fuzzysort","MIT","YES",""
"fzf","BSD-3-Clause","YES",""
"geist","SIL OFL 1.1","YES","Font — SIL OFL permissive"
"generator-function","MIT","YES",""
"gensequence","MIT","YES",""
"gensync","MIT","YES",""
"get-caller-file","ISC","YES",""
"get-east-asian-width","MIT","YES",""
"get-intrinsic","MIT","YES",""
"get-nonce","MIT","YES",""
"get-own-enumerable-keys","MIT","YES",""
"get-proto","MIT","YES",""
"get-stream","MIT","YES",""
"get-symbol-description","MIT","YES",""
"get-tsconfig","MIT","YES",""
"get-uri","MIT","YES",""
"glob","ISC","YES",""
"glob-parent","ISC","YES",""
"glob-to-regex.js","Apache-2.0","YES",""
"glob-to-regexp","BSD-2-Clause","YES",""
"global-directory","MIT","YES",""
"globals","MIT","YES",""
"globalthis","MIT","YES",""
"globrex","MIT","YES",""
"gopd","MIT","YES",""
"graceful-fs","ISC","YES",""
"graphql","MIT","YES",""
"has-bigints","MIT","YES",""
"has-flag","MIT","YES",""
"has-property-descriptors","MIT","YES",""
"has-proto","MIT","YES",""
"has-symbols","MIT","YES",""
"has-tostringtag","MIT","YES",""
"hasown","MIT","YES",""
"headers-polyfill","MIT","YES",""
"heap-js","BSD-3-Clause","YES",""
"hono","MIT","YES",""
"html-encoding-sniffer","MIT","YES",""
"html-escaper","MIT","YES",""
"http-errors","MIT","YES",""
"http-proxy-agent","MIT","YES",""
"https-proxy-agent","MIT","YES",""
"human-signals","Apache-2.0","YES",""
"husky","MIT","YES",""
"hyperdyperid","MIT","YES",""
"iconv-lite","MIT","YES",""
"ignore","MIT","YES",""
"import-fresh","MIT","YES",""
"import-meta-resolve","MIT","YES",""
"imurmurhash","MIT","YES",""
"indent-string","MIT","YES",""
"inherits","ISC","YES",""
"ini","ISC","YES",""
"input-otp","MIT","YES",""
"internal-slot","MIT","YES",""
"internmap","ISC","YES",""
"interpret","MIT","YES",""
"ioredis","MIT","YES",""
"ip-address","MIT","YES",""
"ipaddr.js","MIT","YES",""
"is-array-buffer","MIT","YES",""
"is-arrayish","MIT","YES",""
"is-async-function","MIT","YES",""
"is-bigint","MIT","YES",""
"is-boolean-object","MIT","YES",""
"is-builtin-module","MIT","YES",""
"is-bun-module","MIT","YES",""
"is-callable","MIT","YES",""
"is-core-module","MIT","YES",""
"is-data-view","MIT","YES",""
"is-date-object","MIT","YES",""
"is-docker","MIT","YES",""
"is-extglob","MIT","YES",""
"is-finalizationregistry","MIT","YES",""
"is-fullwidth-code-point","MIT","YES",""
"is-generator-function","MIT","YES",""
"is-glob","MIT","YES",""
"is-in-ssh","MIT","YES",""
"is-inside-container","MIT","YES",""
"is-installed-globally","MIT","YES",""
"is-interactive","MIT","YES",""
"is-map","MIT","YES",""
"is-negative-zero","MIT","YES",""
"is-node-process","MIT","YES",""
"is-number","MIT","YES",""
"is-number-object","MIT","YES",""
"is-obj","MIT","YES",""
"is-path-inside","MIT","YES",""
"is-plain-obj","MIT","YES",""
"is-potential-custom-element-name","MIT","YES",""
"is-promise","MIT","YES",""
"is-regex","MIT","YES",""
"is-regexp","MIT","YES",""
"is-safe-filename","MIT","YES",""
"is-set","MIT","YES",""
"is-shared-array-buffer","MIT","YES",""
